,discriminator,Generator
0,0.715539,38.414917
1,0.7319342,32.96393
2,0.89329934,29.698872
3,0.80310965,27.736954
4,0.75143266,23.007336
5,0.6936086,22.043045
6,0.7024052,19.758549
7,0.6742187,19.076895
8,0.67671084,17.085344
9,0.6642883,16.50287
10,0.66009337,16.301872
11,0.6418234,15.116228
12,0.649755,15.660688
13,0.6472539,13.959337
14,0.6260374,13.410837
15,0.61401725,14.196675
16,0.6032825,13.688094
17,0.6489787,13.991738
18,0.68361294,13.0856085
19,0.66990024,12.020132
20,0.64530575,12.2390375
21,0.6243222,12.031647
22,0.61570776,12.629351
23,0.5827973,10.6488285
24,0.58509105,11.297971
25,0.5805599,12.372097
26,0.56291497,11.551859
27,0.539642,11.77842
28,0.49961263,11.45458
29,0.53367627,12.50077
30,0.47762096,10.743218
31,0.50206786,11.572795
32,0.51218987,11.737703
33,0.48450327,10.877731
34,0.53247285,12.412689
35,0.57119757,11.26831
36,0.5306568,11.19101
37,0.5050454,9.587225
38,0.5642996,10.325051
39,0.48905072,11.035558
40,0.6424574,10.513128
41,0.572955,9.7412405
42,0.5340071,11.072118
43,0.44838202,10.1039915
44,0.42597854,10.068749
45,0.38828528,10.015643
46,0.37632155,10.627476
47,0.37335154,10.614071
48,0.33397916,10.88494
49,0.30900854,9.813884
50,0.34331086,10.680529
51,0.38106266,9.61268
52,0.50018966,10.795054
53,0.5054865,10.9789505
54,0.63175285,9.481285
55,0.52821374,10.858909
56,0.422988,9.946798
57,0.35342592,10.890217
58,0.29016474,9.756521
59,0.28517205,10.467099
60,0.2566629,9.579681
61,0.24515584,9.354542
62,0.20458752,10.169261
63,0.21560884,11.257634
64,0.22003627,10.700618
65,0.17980823,10.96364
66,0.16997018,12.652649
67,0.17891458,9.826828
68,0.17188716,9.88744
69,0.19448377,10.255333
70,0.21162315,10.9239435
71,0.19006574,10.410664
72,0.1588236,10.939703
73,0.16984871,10.213982
74,0.1542475,11.073122
75,0.11750084,10.086622
76,0.124027774,10.885115
77,0.15040323,9.95948
78,0.10201864,12.349867
79,0.10716138,10.376201
80,0.10788518,11.91131
81,0.10426608,11.527996
82,0.09811336,11.556896
83,0.08895203,11.988104
84,0.11608629,12.342791
85,0.10838729,12.031023
86,0.18101156,10.482141
87,0.2307556,11.879545
88,0.82905185,10.828741
89,0.66485995,9.960132
90,0.4273247,9.897226
91,0.2377379,11.341643
92,0.41546085,11.823897
93,0.6071431,10.689102
94,0.9020164,9.827228
95,0.96192396,10.023785
96,0.5802022,9.569759
97,0.37677047,10.366516
98,0.30290145,10.363447
99,0.29543468,10.348123
100,0.31480718,10.032541
101,0.28162915,11.793229
102,0.30601454,11.1137495
103,0.2058811,10.896374
104,0.16438425,10.693571
105,0.25786304,11.804683
106,0.27395654,11.677061
107,0.23032588,11.82877
108,0.1618268,10.722567
109,0.19261867,12.174
110,0.2712914,11.190355
111,0.17131168,10.200478
112,0.1415076,11.602868
113,0.2816335,10.199513
114,0.09937609,11.898572
115,0.098038495,11.491152
116,0.12735364,11.42082
117,0.060477883,11.784281
118,0.059916697,11.557347
119,0.16896923,12.238408
120,0.07867764,11.73584
121,0.050947122,11.916463
122,0.053629253,11.946486
123,0.05702831,11.199101
124,0.051097434,10.152109
125,0.046122916,12.527915
126,0.035264775,12.166859
127,0.053863235,11.100998
128,0.046075776,12.697904
129,0.18606989,11.790693
130,0.38552725,10.649633
131,0.11767207,10.692831
132,0.43658328,12.448626
133,1.2563187,12.755769
134,0.43031323,11.416088
135,0.54811573,11.494617
136,0.43213424,10.14881
137,0.17107755,12.535836
138,0.13659126,10.806771
139,0.11842092,11.147151
140,0.20948043,10.410616
141,0.15749063,10.649066
142,0.054783925,12.869996
143,0.050632246,11.974368
144,0.12639295,11.050546
145,0.06303196,12.240648
146,0.0744905,11.076059
147,0.059781104,11.872294
148,0.07589761,11.809134
149,0.05845239,12.562181
150,0.07344058,12.374397
151,0.06372133,11.813513
152,0.05793152,11.608077
153,0.11892583,11.5592575
154,0.11584024,11.595175
155,0.033864345,12.3603325
156,0.043681614,12.592821
157,0.04999449,12.685607
158,0.038564287,11.172377
159,0.031666487,12.920749
160,0.059318334,11.0398655
161,0.06792722,12.294239
162,0.07107168,11.547182
163,0.024826076,14.001916
164,0.038370494,12.506702
165,0.035481013,12.008968
166,0.025531251,12.79396
167,0.025367096,11.618456
168,0.03334015,11.521046
169,0.02202779,11.556896
170,0.029659798,11.425464
171,0.020060673,12.0312
172,0.021069903,12.364965
173,0.04291056,11.414637
174,0.01963402,13.199799
175,0.018699495,12.797035
176,0.03556732,10.934086
177,0.017520502,13.547247
178,0.017745338,14.380822
179,0.018355368,12.752216
180,0.025304457,11.497927
181,0.033021983,12.197022
182,0.0172051,14.865929
183,0.018220294,15.235611
184,0.01405165,14.519108
185,0.019315353,13.587798
186,0.01721587,12.904852
187,0.02024887,13.309985
188,0.016163152,13.847315
189,0.019222269,12.293468
190,0.018269032,11.84136
191,0.02988683,12.1966095
192,0.019087024,13.469447
193,0.017537408,13.498907
194,0.013556175,14.061427
195,0.014795555,12.363852
196,0.017578255,12.553974
197,0.012810875,13.486723
198,0.01205835,13.565662
199,0.01168119,13.447228
200,0.016488466,12.64781
201,0.013983785,14.280708
202,0.019688722,11.985456
203,0.013472389,13.051611
204,0.01878945,12.661585
205,0.053344198,13.017248
206,0.04560516,12.683004
